# Structural alerts extracted from ToxTree plugin: Structural Alerts for Functional Group Identification (ISSFUNC) (FuncRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"FG82_3","P(=[SX1])([I,Br,Cl,F])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])"
"FG82_4","P(=[SX1])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG83_LS","P(=[OX1])([#6])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])"
"FG83_1","P(=[OX1])([#6])([OH])([OH])"
"FG83_2","P(=[OX1])([#6])([O][#6])([O,N,Cl,Br,I,F])"
"FG83_3","[PX3]([#6])([#6])([#6])"
"FG83_4","[PX4](=[OX1])([#6])([#6])([#6])"
"FG84_LS","[BX3]([#6])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])"
"FG84_1","[BX3]([#6])([OH])([OH])"
"FG84_2","[BX3]([#6])([OH])([O][#6])"
"FG85","[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]=[$([CX3]([#6])[#6]),$([CX3H][#6]),$([CX3H2])]"
"FG86","[$([CX2]([#6])),$([CX2H1])]#[$([CX2]([#6])),$([CX2H1])]"
"FG87","[c]:[c]"
"FG88","[c]:[a;!c]"
"FG89","[$([NX3H]([#6])),$([NX3H2])][$([CX4H]([#6])),$([CX4H2])][CX3](=[OX1])[OH]"
"FG90","[OH][$([CX4H]([#6])),$([CX4H2])][CX3](=[OX1])[OH]"
